ID,URL,Headline,Author,Date
0,https://www.theverge.com/2023/4/11/23678512/microsoft-xbox-cloud-gaming-pc-games-ee-partnership,"Is Microsoft getting ready to add PC games to Xbox Cloud Gaming?",Tom Warren,04/11/2023
1,https://www.theverge.com/2023/4/11/23678472/android-auto-app-archive-feature-release-storage,"Android devices can now automatically archive little-used apps",Jess Weatherbed,04/11/2023
2,https://www.theverge.com/2023/4/11/23678471/spike-english-bulldog-mini-bmw-aceman-countryman-cooper-personal-assistant,"Mini's cars are getting an ‘intelligent personal assistant' named Spike",Jon Porter,04/11/2023
3,https://www.theverge.com/2023/4/11/23677443/fortnite-update-attack-on-titan-odm-gear,"Fortnite's new update adds Attack on Titan gear",Andrew Webster,04/11/2023
4,https://www.theverge.com/2023/4/11/23678438/microsoft-teams-snapchat-lenses-feature,"Microsoft Teams now has Snapchat's Lenses for video calls",Tom Warren,04/11/2023
5,https://www.theverge.com/2023/4/11/23678441/pc-shipment-fall-covid-pandemic-work-from-home-supply-chains-economic-uncertainty,"PC shipments fell sharply last quarter, with Apple among hardest hit",Jon Porter,04/11/2023
6,https://www.theverge.com/23671900/beau-is-afraid-review,"Beau Is Afraid is an exercise in laughing to keep from screaming",Charles Pulliam-moore,04/11/2023
7,https://www.theverge.com/2023/4/10/23678105/elon-musk-substack-notes-battle-matt-taibbi,"Elon Musk tweets then deletes DMs from Matt Taibbi over his Substack snit",Jay Peters,04/11/2023
8,https://www.theverge.com/2023/4/10/23677525/spacex-starship-super-heavy-starbase-launch-ready,"Elon Musk says SpaceX's Starship spacecraft is ready to launch soon",Umar Shakir,04/11/2023
9,https://www.theverge.com/good-deals/22865895/noise-canceling-headphone-deals-apple-bose-microsoft-deal-sale,"Here are the best noise-canceling headphone deals we could find",Sheena Vasani,04/11/2023
10,https://www.theverge.com/2023/4/10/23677550/star-wars-bad-batch-third-final-season-2024-disney,"Star Wars: The Bad Batch will return for a third and final season in 2024",Emma Roth,04/11/2023
11,https://www.theverge.com/2023/4/10/23677293/overwatch-league-pro-am-tournament-2023,"Florida Mayhem won the first Overwatch League pro-am tournament, but the amateurs were the bigger winners",Ash Parrish,04/11/2023
12,https://www.theverge.com/2023/4/10/23677113/bitcoin-mine-investigation-energy-emissions-electricity-bills-new-york-times,"Bitcoin's insatiable appetite for energy is driving up pollution and costs for Americans, report finds",Justine Calma,04/11/2023